"_id","location.address.city","location.address.state","location.address.street1","location.address.street2","location.address.zipcode","location.geo.type","theaterId"
"59a47286cfa9a3a73e51e72c","Bloomington","MN","340 W Market","","55425","Point",1000
"59a47286cfa9a3a73e51e72d","California","MD","45235 Worth Ave.","","20619","Point",1003
"59a47286cfa9a3a73e51e72e","Vacaville","CA","1621 E Monte Vista Ave","","95688","Point",1008
"59a47286cfa9a3a73e51e72f","Birmingham","AL","5072 Pinnacle Sq","","35235","Point",1004
"59a47286cfa9a3a73e51e730","Tempe","AZ","1900 E Rio Salado Pkwy","","85281","Point",1002
"59a47286cfa9a3a73e51e731","Clarksville","IN","1025 Veterans Pkwy","","47129","Point",1010
"59a47286cfa9a3a73e51e732","Sparks","NV","155 Los Altos Pkwy","","89436","Point",1014
"59a47286cfa9a3a73e51e733","Bismarck","ND","1207 W Century Ave","","58503","Point",1012
"59a47286cfa9a3a73e51e734","Long Beach","CA","6310 E Pacific Coast Hwy","","90803","Point",1009
"59a47286cfa9a3a73e51e735","Glen Allen","VA","9901 Brook Rd","","23059","Point",1013
"59a47286cfa9a3a73e51e736","San Angelo","TX","4325 Sunset Dr","","76904","Point",1017
"59a47286cfa9a3a73e51e737","Glendora","CA","1307 E Gladstone St","","91740","Point",1018
"59a47286cfa9a3a73e51e738","Altoona","PA","1721 Osgood Dr","","16602","Point",1015
"59a47286cfa9a3a73e51e739","El Segundo","CA","740 S Sepulveda Blvd","","90245","Point",1011
"59a47286cfa9a3a73e51e73a","Salinas","CA","390 Northridge Mall","","93906","Point",1019
"59a47286cfa9a3a73e51e73b","Mission Viejo","CA","25422 El Paseo","","92691","Point",101
"59a47286cfa9a3a73e51e73c","San Rafael","CA","700 Du Bois St","","94901","Point",1021
"59a47286cfa9a3a73e51e73d","La Quinta","CA","79220 Hwy 111","","92253","Point",1020
"59a47286cfa9a3a73e51e73e","Enfield","CT","95 Elm St","","06082","Point",1026
"59a47286cfa9a3a73e51e73f","Sherman","TX","823 N Creek Dr","","75092","Point",1023
"59a47286cfa9a3a73e51e740","Leesburg","VA","609 Potomac Station Dr NE","","20176","Point",1022
"59a47286cfa9a3a73e51e741","Noblesville","IN","17200 Mercantile Blvd","","46060","Point",1025
"59a47286cfa9a3a73e51e742","Weatherford","TX","138 E Interstate 20","Ste 120","76087","Point",1024
"59a47286cfa9a3a73e51e743","Fort Worth","TX","5944 Quebec St","","76135","Point",1027
"59a47286cfa9a3a73e51e744","New York","NY","529 5th Ave","","10017","Point",1028
"59a47286cfa9a3a73e51e745","Newnan","GA","312 Newnan Crossing Byp E","","30265","Point",1037
"59a47286cfa9a3a73e51e746","Mohegan Lake","NY","3105 E Main St","","10547","Point",1029
"59a47286cfa9a3a73e51e747","Flower Mound","TX","6060 Long Prairie Rd","","75028","Point",1038
"59a47286cfa9a3a73e51e748","Pueblo","CO","5890 N Elizabeth St","","81008","Point",1030
"59a47286cfa9a3a73e51e749","Grand Island","NE","3404 W 13th St","","68803","Point",1034
