GRAMMAR,SPEAKING,LISTENING,WRITING,READING,Cluster
10.2,15.3,16.9,14.5,8.0,0
14.6,14.5,18.5,13.5,14.7,1
12.0,15.0,13.8,16.5,16.0,1
13.9,14.0,15.4,12.0,20.0,1
15.5,15.5,18.5,16.0,18.7,1
10.9,16.0,16.9,15.5,16.0,1
13.5,15.5,18.0,15.0,14.7,1
10.6,14.0,15.599999999999998,13.0,13.3,0
13.7,14.8,18.0,14.0,20.0,1
12.0,13.5,9.2,16.0,18.7,0
15.7,14.0,8.0,14.7,18.0,0
17.5,14.0,18.0,14.0,14.0,1
11.8,14.5,16.7,14.5,18.7,1
11.1,15.0,20.0,13.5,17.1,1
8.4,14.0,12.3,14.0,10.7,0
16.1,13.0,16.9,15.0,18.7,1
14.600000000000001,14.5,18.0,12.5,16.0,1
11.099999999999998,14.0,15.400000000000002,14.5,14.7,0
6.8,13.0,9.2,13.5,8.0,2
11.6,14.0,16.0,14.0,18.6,1
12.5,14.0,18.5,14.5,14.7,1
10.0,14.800000000000002,12.3,15.0,18.7,0
7.1,16.0,13.3,15.0,14.699999999999998,0
18.2,14.0,16.0,14.0,20.0,1
8.9,14.0,12.3,14.0,16.0,0
16.9,14.0,16.9,14.5,20.0,1
17.8,15.0,18.0,15.5,16.0,1
10.4,15.0,20.0,14.0,10.0,0
17.1,15.0,20.0,15.0,16.0,1
10.6,14.0,13.3,13.5,17.3,0
7.7,13.0,10.8,13.0,10.7,2
11.6,13.5,15.4,13.0,20.0,0
16.4,13.0,16.0,11.0,16.0,0
17.7,13.0,18.0,15.0,14.300000000000002,1
14.8,12.0,16.0,12.5,18.0,0
10.8,14.0,14.0,16.0,12.0,0
16.1,13.0,20.0,13.7,20.0,1
7.900000000000001,11.0,8.0,11.5,12.0,2
7.0,12.0,6.0,12.0,10.0,2
9.1,11.5,7.700000000000001,15.0,18.7,0
18.7,15.0,18.0,16.0,20.0,1
10.1,13.0,18.0,13.1,12.0,0
14.5,14.0,18.5,11.5,20.0,1
13.2,14.0,16.9,13.5,20.0,1
13.0,14.5,13.8,14.699999999999998,14.699999999999998,1
19.699999999999996,13.0,18.0,12.0,17.1,1
11.8,15.0,13.8,15.0,18.7,1
8.8,15.0,11.1,15.0,14.699999999999998,0
14.6,12.0,18.0,12.0,16.0,0
8.4,14.5,9.2,14.0,18.7,0
17.1,13.0,20.0,15.0,20.0,1
10.9,14.0,16.9,14.5,20.0,1
8.2,12.5,11.7,14.0,18.7,0
10.800000000000002,13.5,12.0,12.0,14.699999999999998,0
15.2,13.0,20.0,13.5,11.4,0
9.9,12.5,9.2,12.0,18.7,0
12.4,13.0,16.9,12.0,16.0,0
14.1,14.5,16.0,14.0,19.0,1
17.9,14.0,13.8,17.0,17.3,1
17.9,13.0,18.0,15.0,11.4,1
9.3,14.0,16.9,14.0,10.7,0
16.7,13.0,20.0,11.0,20.0,1
11.7,12.0,18.0,13.0,16.0,0
8.0,12.0,20.0,13.0,12.0,0
7.6,14.0,15.6,12.0,13.3,0
12.6,13.0,16.0,13.0,16.0,0
16.9,14.0,12.0,14.0,17.1,1
16.7,13.0,18.5,12.0,16.0,1
8.2,12.0,7.3,12.0,11.0,2
16.5,14.0,18.5,17.0,18.7,1
10.6,12.0,10.9,13.0,10.0,2
10.2,12.0,14.5,13.0,8.0,2
4.7,13.0,7.8,12.5,12.0,2
17.7,14.0,18.5,15.0,20.0,1
9.3,14.0,20.0,13.0,11.4,0
5.9,12.5,13.8,13.0,13.3,2
14.6,12.0,16.0,13.0,17.1,0
13.8,12.0,14.0,13.0,5.7,2
16.2,14.0,20.0,15.0,20.0,1
9.8,13.5,15.4,14.7,13.3,0
7.0,14.5,13.800000000000002,16.0,10.699999999999998,0
