IDEVALUACIO,IDALUMNE,TOTAL,EDAD,SEXO,TIPUS_ESCOLA,PROFE,GRAMMAR,LISTENING,READING,SPEAKING,WRITING,TOTAL_Predicho,Residuo,Residuo_Absoluto
50,30,31.7,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,-37.09323075615718,37.09323075615718
50,30,64.9,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,-3.8932307561571804,3.8932307561571804
50,30,67.3,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,-1.493230756157189,1.493230756157189
50,30,67.5,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,-1.293230756157186,1.293230756157186
50,30,68.3,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,-0.4932307561571889,0.4932307561571889
50,30,69.8,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,1.006769243842811,1.006769243842811
50,30,71.6,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,2.8067692438428082,2.8067692438428082
50,30,72.8,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,4.006769243842811,4.006769243842811
50,30,72.9,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,4.10676924384282,4.10676924384282
50,30,75.0,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,6.206769243842814,6.206769243842814
50,30,77.4,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,8.60676924384282,8.60676924384282
50,30,77.9,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,9.10676924384282,9.10676924384282
50,30,80.2,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,11.406769243842817,11.406769243842817
50,30,80.7,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,11.906769243842817,11.906769243842817
50,30,81.2,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,12.406769243842817,12.406769243842817
50,30,87.3,15,F,PUBLICA,GUY,10.2,16.9,8.0,15.3,14.5,68.79323075615719,18.50676924384281,18.50676924384281
50,56,46.1,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-26.206434447525318,26.206434447525318
50,56,51.6,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-20.706434447525318,20.706434447525318
50,56,52.9,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-19.40643444752532,19.40643444752532
50,56,53.8,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-18.506434447525322,18.506434447525322
50,56,56.3,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-16.006434447525322,16.006434447525322
50,56,59.1,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-13.206434447525318,13.206434447525318
50,56,59.9,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-12.40643444752532,12.40643444752532
50,56,63.3,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-9.006434447525322,9.006434447525322
50,56,63.7,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-8.606434447525317,8.606434447525317
50,56,65.0,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-7.306434447525319,7.306434447525319
50,56,65.2,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-7.1064344475253165,7.1064344475253165
50,56,66.6,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-5.706434447525325,5.706434447525325
50,56,67.6,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,-4.706434447525325,4.706434447525325
50,56,72.8,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,0.4935655524746778,0.4935655524746778
50,56,73.4,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,1.0935655524746863,1.0935655524746863
50,56,73.5,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,1.1935655524746807,1.1935655524746807
50,56,74.1,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,1.793565552474675,1.793565552474675
50,56,74.5,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,2.1935655524746807,2.1935655524746807
50,56,75.8,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,3.493565552474678,3.493565552474678
50,56,76.1,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,3.793565552474675,3.793565552474675
50,56,78.1,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,5.793565552474675,5.793565552474675
50,56,78.8,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,6.493565552474678,6.493565552474678
50,56,79.3,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,6.993565552474678,6.993565552474678
50,56,79.6,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,7.293565552474675,7.293565552474675
50,56,80.5,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,8.19356555247468,8.19356555247468
50,56,81.1,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,8.793565552474675,8.793565552474675
50,56,83.3,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,10.993565552474678,10.993565552474678
50,56,86.1,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,13.793565552474675,13.793565552474675
50,56,87.1,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,14.793565552474675,14.793565552474675
50,56,92.0,14,M,FINALITZAT,ELENA,14.6,18.5,14.7,14.5,13.5,72.30643444752532,19.69356555247468,19.69356555247468
50,90,33.7,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,-37.11369707896188,37.11369707896188
50,90,61.5,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,-9.31369707896188,9.31369707896188
50,90,62.2,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,-8.613697078961877,8.613697078961877
50,90,63.0,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,-7.81369707896188,7.81369707896188
50,90,65.0,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,-5.81369707896188,5.81369707896188
50,90,65.5,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,-5.31369707896188,5.31369707896188
50,90,65.8,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,-5.013697078961883,5.013697078961883
50,90,67.9,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,-2.9136970789618744,2.9136970789618744
50,90,70.4,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,-0.41369707896187435,0.41369707896187435
50,90,71.2,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,0.3863029210381228,0.3863029210381228
50,90,73.3,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,2.486302921038117,2.486302921038117
50,90,74.0,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,3.18630292103812,3.18630292103812
50,90,74.7,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,3.886302921038123,3.886302921038123
50,90,74.9,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,4.086302921038126,4.086302921038126
50,90,75.2,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,4.386302921038123,4.386302921038123
50,90,75.5,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,4.68630292103812,4.68630292103812
50,90,76.4,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,5.586302921038126,5.586302921038126
50,90,77.1,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,6.286302921038114,6.286302921038114
50,90,77.3,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,6.486302921038117,6.486302921038117
50,90,78.3,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,7.486302921038117,7.486302921038117
50,90,79.6,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,8.786302921038114,8.786302921038114
50,90,79.9,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,9.086302921038126,9.086302921038126
50,90,80.3,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,9.486302921038117,9.486302921038117
50,90,82.2,16,F,PUBLICA,GUY,12.0,13.8,16.0,15.0,16.5,70.81369707896188,11.386302921038123,11.386302921038123
50,187,53.8,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-17.970046658793166,17.970046658793166
50,187,61.9,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-9.870046658793164,9.870046658793164
50,187,62.5,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-9.270046658793163,9.270046658793163
50,187,63.8,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-7.970046658793166,7.970046658793166
50,187,64.0,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-7.770046658793163,7.770046658793163
50,187,65.1,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-6.670046658793169,6.670046658793169
50,187,65.2,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-6.57004665879316,6.57004665879316
50,187,65.5,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-6.270046658793163,6.270046658793163
50,187,66.9,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-4.870046658793157,4.870046658793157
50,187,68.2,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-3.57004665879316,3.57004665879316
50,187,68.8,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-2.9700466587931658,2.9700466587931658
50,187,69.3,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-2.4700466587931658,2.4700466587931658
50,187,70.2,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-1.57004665879316,1.57004665879316
50,187,70.8,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-0.9700466587931658,0.9700466587931658
50,187,71.4,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,-0.37004665879315723,0.37004665879315723
50,187,72.3,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,0.5299533412068342,0.5299533412068342
50,187,72.6,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,0.8299533412068314,0.8299533412068314
50,187,73.2,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,1.42995334120684,1.42995334120684
50,187,74.9,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,3.1299533412068428,3.1299533412068428
50,187,75.2,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,3.42995334120684,3.42995334120684
50,187,75.3,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,3.5299533412068342,3.5299533412068342
50,187,78.9,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,7.129953341206843,7.129953341206843
50,187,79.4,12,F,FINALITZAT,ELENA,13.9,15.4,20.0,14.0,12.0,71.77004665879316,7.629953341206843,7.629953341206843
50,231,34.0,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,-41.63554486667775,41.63554486667775
50,231,64.9,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,-10.735544866677742,10.735544866677742
50,231,66.1,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,-9.535544866677753,9.535544866677753
50,231,69.8,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,-5.8355448666777505,5.8355448666777505
50,231,70.0,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,-5.635544866677748,5.635544866677748
50,231,70.3,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,-5.3355448666777505,5.3355448666777505
50,231,73.0,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,-2.6355448666777477,2.6355448666777477
50,231,73.4,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,-2.235544866677742,2.235544866677742
50,231,76.0,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,0.3644551333222523,0.3644551333222523
50,231,76.7,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,1.0644551333222552,1.0644551333222552
50,231,77.0,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,1.3644551333222523,1.3644551333222523
50,231,77.7,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,2.064455133322255,2.064455133322255
50,231,78.5,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,2.8644551333222523,2.8644551333222523
50,231,80.6,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,4.964455133322247,4.964455133322247
50,231,80.8,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,5.1644551333222495,5.1644551333222495
50,231,81.1,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,5.464455133322247,5.464455133322247
50,231,81.3,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,5.6644551333222495,5.6644551333222495
50,231,81.9,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,6.264455133322258,6.264455133322258
50,231,82.4,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,6.764455133322258,6.764455133322258
50,231,84.2,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,8.564455133322255,8.564455133322255
50,231,84.3,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,8.66445513332225,8.66445513332225
50,231,85.0,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,9.364455133322252,9.364455133322252
50,231,88.2,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,12.564455133322255,12.564455133322255
50,231,89.0,14,F,PUBLICA,GUY,15.5,18.5,18.7,15.5,16.0,75.63554486667775,13.364455133322252,13.364455133322252
50,271,63.9,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,-8.738292702299468,8.738292702299468
50,271,65.4,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,-7.238292702299461,7.238292702299461
50,271,65.5,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,-7.138292702299466,7.138292702299466
50,271,65.8,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,-6.838292702299469,6.838292702299469
50,271,67.4,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,-5.238292702299461,5.238292702299461
50,271,70.2,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,-2.4382927022994636,2.4382927022994636
50,271,71.4,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,-1.2382927022994608,1.2382927022994608
50,271,72.1,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,-0.5382927022994721,0.5382927022994721
50,271,72.4,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,-0.23829270229946076,0.23829270229946076
50,271,72.9,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,0.26170729770053924,0.26170729770053924
50,271,73.9,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,1.2617072977005392,1.2617072977005392
50,271,74.6,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,1.9617072977005279,1.9617072977005279
50,271,74.9,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,2.2617072977005392,2.2617072977005392
50,271,75.3,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,2.6617072977005307,2.6617072977005307
50,271,76.2,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,3.5617072977005364,3.5617072977005364
50,271,76.8,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,4.161707297700531,4.161707297700531
50,271,77.5,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,4.861707297700534,4.861707297700534
50,271,78.4,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,5.761707297700539,5.761707297700539
50,271,78.7,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,6.061707297700536,6.061707297700536
50,271,79.1,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,6.461707297700528,6.461707297700528
50,271,79.5,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,6.861707297700534,6.861707297700534
50,271,79.9,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,7.261707297700539,7.261707297700539
50,271,80.0,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,7.361707297700534,7.361707297700534
50,271,81.5,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,8.861707297700534,8.861707297700534
50,271,82.0,15,F,PUBLICA,GUY,10.9,16.9,16.0,16.0,15.5,72.63829270229947,9.361707297700534,9.361707297700534
50,280,46.9,12,M,PUBLICA,GUY,13.5,18.0,14.7,15.5,15.0,73.2137017046727,-26.313701704672702,26.313701704672702
50,280,47.6,12,M,PUBLICA,GUY,13.5,18.0,14.7,15.5,15.0,73.2137017046727,-25.6137017046727,25.6137017046727
50,280,56.6,12,M,PUBLICA,GUY,13.5,18.0,14.7,15.5,15.0,73.2137017046727,-16.6137017046727,16.6137017046727
50,280,57.5,12,M,PUBLICA,GUY,13.5,18.0,14.7,15.5,15.0,73.2137017046727,-15.713701704672701,15.713701704672701
50,280,58.0,12,M,PUBLICA,GUY,13.5,18.0,14.7,15.5,15.0,73.2137017046727,-15.213701704672701,15.213701704672701
50,280,58.5,12,M,PUBLICA,GUY,13.5,18.0,14.7,15.5,15.0,73.2137017046727,-14.713701704672701,14.713701704672701
50,280,60.5,12,M,PUBLICA,GUY,13.5,18.0,14.7,15.5,15.0,73.2137017046727,-12.713701704672701,12.713701704672701
50,280,65.1,12,M,PUBLICA,GUY,13.5,18.0,14.7,15.5,15.0,73.2137017046727,-8.113701704672707,8.113701704672707
50,280,65.4,12,M,PUBLICA,GUY,13.5,18.0,14.7,15.5,15.0,73.2137017046727,-7.813701704672695,7.813701704672695
50,280,67.8,12,M,PUBLICA,GUY,13.5,18.0,14.7,15.5,15.0,73.2137017046727,-5.413701704672704,5.413701704672704
50,280,68.2,12,M,PUBLICA,GUY,13.5,18.0,14.7,15.5,15.0,73.2137017046727,-5.013701704672698,5.013701704672698
50,280,68.6,12,M,PUBLICA,GUY,13.5,18.0,14.7,15.5,15.0,73.2137017046727,-4.613701704672707,4.613701704672707
